Market,BarMinutes,RunType,StartTime,EndTime,Bars,Periods,L,S,NetProfit,NetMaxDD,NetRoA,NetAnnReturnPct,NetAnnVolPct,NetSharpe,ClosedTrades
TY,1,walkforward_oos,1987-06-08 08:01:00,2026-03-05 13:00:00,3906000,155,6400,0.01,71952.35937499985,15603.093750000058,4.611416205520113,1.528776417493957,5.11044900844158,0.2991471815820259,401
TY,1,full_sample,1983-01-03 08:01:00,2026-04-10 14:00:00,4319435,1,6400,0.01,97670.56249999948,13827.50000000003,7.063501175194307,1.6760790112784636,4.1586188107149455,0.4030374236176539,772
TY,1,reference_in_sample,03/10/1983 09:21,06/26/2013 14:00,2994565,1,11200,0.04,91467.8125,18981.375,4.818819,,,,157
TY,1,reference_out_of_sample,06/27/2013 07:21,04/10/2026 14:00,1307870,1,11200,0.04,4408.25,33191.0,0.132815,,,,71
TY,1,reference_full,01/03/1983 08:01,04/10/2026 14:00,4319435,1,11200,0.04,95516.6875,33191.0,2.877789,,,,228
