Segment,start_idx,end_exclusive,Profit,WorstDrawDown,StDev,TradeUnits,Objective
in_sample,17000,413339,744673.75,26967.25,148.24461901789905,2325.0,27.614004023398753
out_of_sample,413339,590436,449022.5,103823.5,349.4219016692228,936.5,4.3248638314061845
