SourceFile,Sheet,RowIndex,TickData,Bloomberg,Description,Exchange,Currency,ContractValue,PointValue,TickValue,BidAsk,Slpg,TimeOpen,TimeClose,SessionMinutes,PVMultiplier,Notes
/Users/nigelli/Downloads/TF Data (1).xls,TF Data,46,TY,TY,U.S. 10-year Treasury Note,CBOT-CME,USD,123062.5,1000,15.625,15.625,18.625,07:20,14:00,400,1,Official assignment reference row extracted from TF Data sheet.
/Users/nigelli/Downloads/TF Data (1).xls,TF Data,66,BTC,BTC,CME Bitcoin,CME,USD,260300,5,5,,25,17:00,16:00,,,"Official assignment reference row extracted from TF Data sheet; Bid/Ask is blank in TF Data but Slpg is 25."
