Segment,start_idx,end_exclusive,Profit,WorstDrawDown,StDev,TradeUnits,Objective
in_sample,17000,602313,89464.9375,18903.25,53.4862705199055,154.5,4.7327807387618535
out_of_sample,602313,863887,4392.625,33128.5,45.91882960405822,71.0,0.13259353728662632
