Market,RunType,StartTime,EndTime,Bars,Periods,L,S,GrossProfit,NetProfit,GrossMaxDD,NetMaxDD,GrossRoA,NetRoA,TotalCost,TurnoverContracts,TurnoverNotional,ClosedTrades,GrossStDev,NetStDev,TradeUnits,BarsBack,RoundTurnCost,CostNote
TY,reference_in_sample,12/07/1983 08:45,06/26/2013 14:00,585313,1,2240,0.040000,92342.500000,89464.937500,18363.125000,18903.250000,5.028692,4.732781,2877.562500,309.000000,33431449.375000,154,53.473931,53.486271,154.500000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_out_of_sample,06/27/2013 07:25,04/10/2026 14:00,261574,1,2240,0.040000,5715.000000,4392.625000,32160.000000,33128.500000,0.177705,0.132594,1322.375000,142.000000,17448196.250000,71,45.900445,45.918830,71.000000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_full,01/03/1983 08:05,04/10/2026 14:00,863887,1,2240,0.040000,97713.750000,93513.812500,32160.000000,33128.500000,3.038363,2.822760,4199.937500,451.000000,50879645.625000,225,50.747532,50.761376,225.500000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
