Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
TY,1600,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,77901.875000,73739.187500,20406.250000,20927.750000,52.640421,52.656268,223.500000,3.817550,3.523512,3005.312500,993.812500,26087.812500,27764.062500,45.841604,45.862975,108.000000,0.115200,0.035795
TY,1600,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,86290.625000,82332.812500,20625.000000,21314.125000,54.194279,54.208813,212.500000,4.183788,3.862829,2299.375000,306.500000,26968.750000,28812.625000,46.219995,46.241388,107.000000,0.085261,0.010638
TY,1920,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,56331.406250,47540.406250,11460.312500,12261.187500,35.512319,35.537120,472.000000,4.915346,3.877308,22440.937500,19609.937500,14724.843750,16270.718750,33.272059,33.297868,152.000000,1.524019,1.205229
TY,1920,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,61065.390625,55226.453125,16633.906250,17453.406250,41.288753,41.303047,313.500000,3.671140,3.164222,9045.859375,6913.296875,18053.984375,18761.734375,39.085403,39.104391,114.500000,0.501045,0.368479
TY,1920,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,66625.312500,62108.750000,22231.562500,22957.937500,45.859594,45.873255,242.500000,2.996879,2.705328,7137.187500,5367.812500,26380.937500,27535.687500,42.682125,42.701186,95.000000,0.270543,0.194940
TY,1920,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,81998.593750,78431.906250,24207.500000,24840.750000,51.679099,51.692922,191.500000,3.387322,3.157389,7080.156250,5497.031250,30779.687500,31822.687500,45.767476,45.787331,85.000000,0.230027,0.172739
TY,1920,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,91226.875000,87865.062500,25507.500000,26196.625000,53.498968,53.511490,180.500000,3.576473,3.354060,7161.875000,5616.000000,31304.375000,32384.625000,46.274660,46.294005,83.000000,0.228782,0.173416
TY,2240,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,44177.031250,35795.781250,12992.812500,13514.312500,34.449220,34.474683,450.000000,3.400113,2.648731,24657.031250,22105.406250,16407.343750,17617.968750,31.836138,31.861687,137.000000,1.502805,1.254708
TY,2240,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,47879.140625,42338.203125,17435.468750,17752.093750,40.146014,40.161487,297.500000,2.746077,2.384970,17131.953125,15278.765625,17589.609375,18315.984375,37.850257,37.867982,99.500000,0.973981,0.834177
TY,2240,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,60454.687500,56273.375000,18348.125000,18962.750000,44.909373,44.922876,224.500000,3.294870,2.967575,14590.000000,13081.375000,26808.750000,27870.375000,41.626546,41.643220,81.000000,0.544225,0.469365
TY,2240,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,79337.812500,76180.875000,18569.062500,19071.937500,51.171335,51.185602,169.500000,4.272580,3.994396,10565.156250,9242.781250,31594.375000,32525.625000,45.100346,45.117487,71.000000,0.334400,0.284169
TY,2240,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,92342.500000,89464.937500,18363.125000,18903.250000,53.473931,53.486271,154.500000,5.028692,4.732781,5715.000000,4392.625000,32160.000000,33128.500000,45.900445,45.918830,71.000000,0.177705,0.132594
TY,3200,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,29933.593750,22781.593750,13627.500000,14167.625000,31.936742,31.959676,384.000000,2.196558,1.608004,31072.187500,29023.437500,17095.625000,18175.875000,29.231853,29.253645,110.000000,1.817552,1.596811
TY,3200,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,35417.421875,30733.234375,17107.109375,17386.484375,37.814733,37.829205,251.500000,2.070334,1.767651,17015.156250,15478.593750,23583.125000,24253.625000,35.068989,35.084287,82.500000,0.721497,0.638197
TY,3200,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,42278.750000,38805.187500,20277.812500,21004.187500,42.516419,42.530529,186.500000,2.084976,1.847498,9155.625000,7889.125000,35963.125000,37229.625000,39.062700,39.075685,68.000000,0.254584,0.211904
TY,3200,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,70941.093750,68585.031250,17787.812500,17992.687500,50.129300,50.146218,126.500000,3.988185,3.811828,11849.531250,10825.156250,40018.281250,40726.031250,43.977715,43.989415,55.000000,0.296103,0.265804
TY,3200,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,66146.875000,64032.937500,19268.125000,19528.875000,53.483090,53.499195,113.500000,3.432969,3.278885,7536.875000,6549.750000,40171.875000,40861.000000,45.378714,45.390408,53.000000,0.187616,0.160293
