Period,Market,ISStart,ISEnd,OOSStart,OOSEnd,L,S,ISGrossObjective,ISNetObjective,ISGrossProfit,ISNetProfit,ISGrossMaxDD,ISNetMaxDD,OOSGrossObjective,OOSNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossMaxDD,OOSNetMaxDD,OOSClosedTrades,GridCombosTested
1,BTC,12/18/2017 00:35,08/22/2023 09:00,08/22/2023 09:05,12/28/2023 19:00,552,0.010000,31.300413,28.135729,821393.250000,758743.250000,26242.250000,26967.250000,5.727887,5.233636,52987.250000,50312.250000,9250.750000,9613.250000,107,42
2,BTC,04/27/2018 14:20,12/28/2023 19:00,12/28/2023 19:05,05/08/2024 00:45,552,0.010000,32.066115,29.038445,841487.000000,783087.000000,26242.250000,26967.250000,1.468507,1.297191,53600.500000,49475.500000,36500.000000,38140.500000,165,42
3,BTC,09/04/2018 12:50,05/08/2024 00:45,05/08/2024 00:50,09/12/2024 06:30,276,0.010000,32.682916,28.612590,1165938.500000,1079388.500000,35674.250000,37724.250000,3.816261,3.542123,127761.750000,123011.750000,33478.250000,34728.250000,190,42
4,BTC,01/14/2019 07:05,09/12/2024 06:30,09/12/2024 06:35,01/21/2025 18:45,276,0.010000,32.704737,28.632389,1269336.250000,1182861.250000,38812.000000,41312.000000,3.629340,3.398077,111249.250000,106199.250000,30652.750000,31252.750000,202,42
5,BTC,05/22/2019 21:50,01/21/2025 18:45,01/21/2025 18:50,05/30/2025 00:30,276,0.010000,34.996708,30.757219,1358292.250000,1270642.250000,38812.000000,41312.000000,1.912111,1.768923,85114.750000,80089.750000,44513.500000,45276.000000,201,42
6,BTC,09/29/2019 20:20,05/30/2025 00:30,05/30/2025 00:35,10/06/2025 10:15,276,0.010000,31.182596,28.756880,1388046.500000,1301996.500000,44513.500000,45276.000000,0.118857,0.091504,15416.250000,12053.750000,129704.250000,131729.250000,134,42
7,BTC,02/06/2020 18:35,10/06/2025 10:15,10/06/2025 10:20,02/12/2026 22:30,1104,0.010000,15.109538,14.173316,770212.500000,729575.000000,50975.250000,51475.250000,6.908628,6.640533,117629.750000,115254.750000,17026.500000,17356.250000,95,42
