entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
7209,9021,1983-01-31 08:10:00,1983-02-07 08:22:00,-1,82.9375,82.7253125,1812,193.56249999999886,18.625,True
11904,15123,1983-02-17 08:25:00,1983-03-03 08:04:00,1,83.90625,85.7896875,3219,1864.8124999999995,18.625,True
20068,20503,1983-03-22 12:29:00,1983-03-23 13:44:00,-1,83.75,84.524375,435,-793.0000000000063,18.625,True
23062,27003,1983-04-05 08:23:00,1983-04-20 08:04:00,1,84.90625,85.573125,3941,648.2500000000045,18.625,True
28959,31853,1983-04-27 10:40:00,1983-05-09 10:54:00,1,86.4375,86.4084375,2894,-47.687499999994884,18.625,True
34661,37806,1983-05-19 09:42:00,1983-06-02 08:07:00,-1,85.5,84.39812500000001,3145,1083.2499999999927,18.625,True
38521,40320,1983-06-06 08:02:00,1983-06-13 08:01:00,-1,83.5625,83.1040625,1799,439.8125000000023,18.625,True
43633,44384,1983-06-24 09:14:00,1983-06-28 09:45:00,-1,82.28125,82.2203125,751,42.312499999994316,18.625,True
45728,48287,1983-07-05 08:09:00,1983-07-14 08:48:00,-1,81.40625,80.7684375,2559,619.1874999999955,18.625,True
48610,49302,1983-07-15 08:11:00,1983-07-18 13:43:00,-1,79.96875,80.5475,692,-597.3749999999994,18.625,True
51989,55441,1983-07-28 10:30:00,1983-08-11 08:02:00,-1,79.75,78.211875,3452,1519.4999999999936,18.625,True
57276,57666,1983-08-18 08:37:00,1983-08-19 09:07:00,1,80.625,79.880625,390,-763.0000000000051,18.625,True
57961,59381,1983-08-22 08:02:00,1983-08-25 13:42:00,1,80.6875,80.40656249999999,1420,-299.5625000000074,18.625,True
66601,67695,1983-09-26 08:02:00,1983-09-29 08:16:00,1,81.03125,80.56125,1094,-488.62499999999886,18.625,True
69127,70200,1983-10-05 08:08:00,1983-10-10 08:01:00,1,81.375,81.0871875,1073,-306.43750000000114,18.625,True
74212,78727,1983-10-25 08:53:00,1983-11-10 12:08:00,-1,79.90625,79.853125,4515,34.499999999994316,18.625,True
