Market,RunType,StartTime,EndTime,Bars,Periods,L,S,GrossProfit,NetProfit,GrossMaxDD,NetMaxDD,GrossRoA,NetRoA,TotalCost,TurnoverContracts,TurnoverNotional,ClosedTrades,GrossStDev,NetStDev,TradeUnits,BarsBack,RoundTurnCost,CostNote
TY,reference_in_sample,12/12/1983 10:40,06/26/2013 13:55,577712,1,1280,0.010000,70995.312500,60509.437500,11942.031250,12333.156250,5.944995,4.906241,10485.875000,1126.000000,120182381.875000,563,39.395439,39.422390,563.000000,17001,18.625000,"Default TY round-turn cost = $18.625 = one CME/CBOT 10Y tick ($15.625) plus a small fee cushion."
TY,reference_out_of_sample,06/27/2013 07:25,04/10/2026 13:55,258379,1,1280,0.010000,35636.875000,32191.250000,12179.062500,13650.437500,2.926077,2.358258,3445.625000,370.000000,45173003.125000,185,36.415791,36.447895,185.000000,17001,18.625000,"Default TY round-turn cost = $18.625 = one CME/CBOT 10Y tick ($15.625) plus a small fee cushion."
TY,reference_full,01/03/1983 08:05,04/10/2026 13:55,853091,1,1280,0.010000,106632.187500,92700.687500,12179.062500,13650.437500,8.755369,6.791041,13931.500000,1496.000000,165355385.000000,748,38.113716,38.141870,748.000000,17001,18.625000,"Default TY round-turn cost = $18.625 = one CME/CBOT 10Y tick ($15.625) plus a small fee cushion."
BTC,reference_in_sample,03/15/2018 23:15,10/12/2023 23:55,396339,1,576,0.010000,774468.000000,660768.000000,23666.250000,25066.250000,32.724576,26.360864,113700.000000,4548.000000,530178631.000000,2274,146.760472,146.866118,2274.000000,17001,50.000000,"Default BTC round-turn cost = $50.00 = two CME BTC ticks ($25 each), a conservative liquid-hours baseline."
BTC,reference_out_of_sample,10/13/2023 00:00,04/10/2026 16:00,177097,1,576,0.010000,444529.750000,398854.750000,98485.250000,101235.250000,4.513668,3.939880,45675.000000,1827.000000,711581003.750000,913,345.126672,345.318108,913.500000,17001,50.000000,"Default BTC round-turn cost = $50.00 = two CME BTC ticks ($25 each), a conservative liquid-hours baseline."
BTC,reference_full,12/18/2017 00:35,04/10/2026 16:00,590436,1,576,0.010000,1218997.750000,1059622.750000,98485.250000,101235.250000,12.377465,10.466935,159375.000000,6375.000000,1241759634.750000,3187,224.020258,224.155125,3187.500000,17001,50.000000,"Default BTC round-turn cost = $50.00 = two CME BTC ticks ($25 each), a conservative liquid-hours baseline."
