ticker,q,time_scale,VR,Z2,p2,significant
TY,1,5min,1.0,0.0,,False
TY,2,10min,0.9570576467898735,-0.022649638995281114,0.9819297477761919,False
TY,42,3.5hr,0.9296916161567577,-0.006701585466729358,0.9946529484470186,False
TY,80,1.0sess,0.9455246722678045,-0.00405240680088376,0.9967666560291477,False
TY,82,1.0sess,0.9462638475653462,-0.003955020588971033,0.9968443583612612,False
TY,122,1.5sess,0.9472748828768315,-0.0031992433633651817,0.9974473774685364,False
TY,160,2.0sess,0.9462297152800848,-0.0028591290730655542,0.9977187481633196,False
TY,162,2.0sess,0.945983067743249,-0.002854957220869121,0.9977220768061916,False
TY,202,2.5sess,0.9405589873100698,-0.002817070847986263,0.9977523056366129,False
TY,242,3.0sess,0.9369437866027206,-0.002735821194557004,0.9978171332307697,False
TY,282,3.5sess,0.931555671089015,-0.0027564196120213173,0.9978006981334682,False
TY,322,4.0sess,0.927010020861076,-0.0027574164807597627,0.9977999027503155,False
TY,362,4.5sess,0.9220952305648104,-0.0027818282273368005,0.9977804250693247,False
TY,400,5.0sess,0.917327408425883,-0.002814124664205518,0.9977546563418471,False
TY,402,5.0sess,0.9171151785786759,-0.0028146246809898153,0.9977542573877547,False
TY,442,5.5sess,0.9112393161327041,-0.002880492808880998,0.9977017024385446,False
TY,482,6.0sess,0.9045622103638327,-0.0029721067545298305,0.9976286053987569,False
TY,522,6.5sess,0.9002939614939168,-0.002989999774097216,0.9976143288981334,False
TY,562,7.0sess,0.8980564985233217,-0.002952703490672411,0.9976440868954859,False
TY,602,7.5sess,0.8964075083536014,-0.002905382007100461,0.9976818438146544,False
TY,642,8.0sess,0.8943959079252901,-0.0028743860791155137,0.9977065748837703,False
TY,682,8.5sess,0.8921580114752689,-0.0028542160492940967,0.9977226681731388,False
TY,722,9.0sess,0.8903174650880824,-0.002827675813489706,0.9977438441320712,False
TY,762,9.5sess,0.8888882582485248,-0.002794431849364289,0.9977703688729858,False
TY,800,10.0sess,0.8883968040291907,-0.002744951249194726,0.9978098485284881,False
TY,802,10.0sess,0.8884144015200406,-0.0027413855006764945,0.9978126935734739,False
TY,842,10.5sess,0.8885410079219176,-0.002678000447972875,0.9978632673427357,False
TY,882,11.0sess,0.8889182398351254,-0.002612973993588252,0.9979151507651678,False
TY,922,11.5sess,0.8897247536326649,-0.002542016853176722,0.9979717661839069,False
TY,962,12.0sess,0.8908084322051858,-0.002468775338837349,0.9980302042739866,False
TY,1002,12.5sess,0.8918729312383492,-0.002399777896839102,0.9980852561045703,False
TY,1042,13.0sess,0.8925600413206921,-0.002342479253553903,0.9981309736788782,False
TY,1082,13.5sess,0.8935387829172895,-0.0022817919233868327,0.9981793950332176,False
TY,1122,14.0sess,0.8949128835653124,-0.0022155787915810582,0.9982322253352276,False
TY,1162,14.5sess,0.8970677885664788,-0.002135965189981338,0.9982957476484002,False
TY,1200,15.0sess,0.8988981720086368,-0.002067619265849934,0.9983502796855992,False
TY,1202,15.0sess,0.8989783448881777,-0.0020644217435885712,0.9983528309337995,False
TY,1242,15.5sess,0.9008315373310902,-0.0019967223985286595,0.9984068470846283,False
TY,1282,16.0sess,0.9025808840575329,-0.0019335520073157626,0.9984572496671471,False
TY,1322,16.5sess,0.9040524345933468,-0.0018780481914082066,0.9985015352244955,False
TY,1362,17.0sess,0.9058758226796765,-0.0018176905306587514,0.998549693587905,False
TY,1402,17.5sess,0.9086367953881451,-0.0017414445018066353,0.9986105290208052,False
TY,1440,18.0sess,0.9112885362446711,-0.0016706108922431475,0.9986670459820028,False
TY,1442,18.0sess,0.9114261861923134,-0.0016669743214605918,0.9986699475416441,False
TY,1482,18.5sess,0.9142418682609346,-0.001594187206245827,0.998728023179881,False
TY,1522,19.0sess,0.9172260361189166,-0.001520358668955994,0.9987869297584906,False
TY,1562,19.5sess,0.9201074859742333,-0.00145038945922642,0.9988427570490672,False
TY,1600,20.0sess,0.9226235745117267,-0.0013895955247561341,0.9988912635418603,False
TY,1602,20.0sess,0.922760664130296,-0.0013863537115320216,0.9988938501320892,False
TY,1642,20.5sess,0.9253612771002222,-0.0013248858869180484,0.9989428943152627,False
TY,1682,21.0sess,0.9274371727601518,-0.0012741596336687897,0.9989833679753781,False
TY,1722,21.5sess,0.9293294840550841,-0.0012278765424517358,0.9990202965103858,False
TY,1762,22.0sess,0.9310944784252313,-0.001184907177643531,0.9990545810782026,False
TY,1802,22.5sess,0.9328031685254748,-0.0011439201412924906,0.9990872839795275,False
TY,1842,23.0sess,0.9339577888687245,-0.0011132264131143532,0.9991117740157571,False
TY,1882,23.5sess,0.9350879366212631,-0.0010836678715873123,0.9991353583054523,False
TY,1922,24.0sess,0.9361848426048771,-0.0010553413205057938,0.9991579596102942,False
TY,1962,24.5sess,0.9372710572217293,-0.0010278258090246693,0.9991799138001778,False
TY,2000,25.0sess,0.9378845202607211,-0.0010090426823923615,0.999194900559149,False
TY,2002,25.0sess,0.9379053466098005,-0.0010082515542167434,0.9991955317877848,False
TY,2042,25.5sess,0.9383967412054036,-0.000991421167885119,0.9992089604864789,False
TY,2082,26.0sess,0.9389234493259304,-0.0009744125349214855,0.9992225314055652,False
TY,2122,26.5sess,0.9399952281694235,-0.0009491588511222408,0.999242680920652,False
TY,2162,27.0sess,0.9414262609879323,-0.0009187753911956067,0.9992669234036569,False
TY,2202,27.5sess,0.943110134570462,-0.0008850351311362728,0.9992938442252854,False
TY,2242,28.0sess,0.9446574507672336,-0.000854019255675497,0.999318591304099,False
TY,2282,28.5sess,0.9462270792139259,-0.0008232210289533629,0.9993431647250586,False
TY,2322,29.0sess,0.9478006030882167,-0.0007929056343192512,0.9993673529024938,False
TY,2362,29.5sess,0.9494325422868967,-0.0007622311752425387,0.9993918275724023,False
TY,2400,30.0sess,0.950927660438085,-0.0007343942459140768,0.9994140382223142,False
TY,2402,30.0sess,0.9510049535103537,-0.0007329622891703726,0.9994151807581844,False
TY,2442,30.5sess,0.9524408941074337,-0.0007062031373237922,0.9994365314667746,False
TY,2482,31.0sess,0.9537806863015836,-0.0006812978784352264,0.999456402983542,False
TY,2522,31.5sess,0.9549925586895835,-0.0006586659399924643,0.9994744606537533,False
