Ticker,Kind,TauBars,TauScale,Rho,PValue,Pattern
TY,short,80,1.0sess,0.08181818181818183,0.8109903943000458,trend
TY,reference,1440,18.0sess,0.5909090909090909,0.05557560428877463,trend
TY,showcase,1440,18.0sess,0.5909090909090909,0.05557560428877463,trend
BTC,short,288,1.0d,-0.38181818181818183,0.24655957577897006,mean_revert
BTC,reference,1152,4.0d,-0.46363636363636374,0.15090149929248603,mean_revert
BTC,showcase,3456,12.0d,0.6727272727272727,0.02331303983318597,trend
