bin_centre,bin_mean,bin_se,bin_count
-10437.552450850912,-833.8825893362515,29.92323370328335,53002
-4158.055581750627,-177.59397219969446,32.15382236057644,53021
-2115.8787501884517,442.1054764058495,23.038562984024296,53064
-1057.217343785332,-100.20991934876008,18.029670849169797,53068
-339.2491970527111,392.80700925750995,14.902603881168973,52930
102.63384285230225,455.2532848913821,13.735970740884873,53122
597.5489437947945,468.9540739343644,17.070006035318006,53020
1369.8550710989734,347.28157076937566,20.91930875151262,53095
2581.674297234155,602.4771082975357,23.22110430565852,53076
5259.423798126755,192.2325349113318,28.333509661119457,53063
11773.710495071895,1894.9726739912933,33.64957432351584,53063
