bin_centre,bin_mean,bin_se,bin_count
-6432.861448038335,207.39480383348308,18.492090436102135,53424
-2410.318915368737,259.90073184462375,15.407116570898939,53290
-1097.6937998955457,152.90942326344847,12.62437473846652,53612
-525.5308832962306,123.75136776968645,10.74744323831124,53006
-179.25556258371782,131.24786054472392,9.008746583825086,53752
46.68020159756561,87.98611639406619,8.23233072561303,52580
297.78494603920416,142.51936348285736,9.69921395281955,54484
709.0039814572507,199.4482971326031,11.586496157440049,53498
1385.447138500683,288.11191558623784,14.604952111252022,53451
2780.0106532099803,-164.98579572002618,16.541142784743553,53505
6487.186063889408,-212.30562301513172,20.14297953032876,53530
