bin_centre,bin_mean,bin_se,bin_count
-3.6372379095985674,-0.13151875790222314,0.008064135378569962,75928
-1.94399880143288,-0.04720174448672104,0.006541412213828741,78583
-1.2550638271286303,-0.01215389797434694,0.006663727950019988,76716
-0.7393547217093115,0.07228293575573728,0.00648336145144757,75820
-0.2891602241774663,0.036098770077036046,0.006441915243167841,77626
0.12609929198554834,0.06796135459642852,0.006322746891702289,77223
0.5169920084419883,0.13512254727768155,0.006464907959628931,78536
0.9004944926314954,0.08310403215948778,0.006728268354111545,75592
1.3740962408687953,-0.022587162584833287,0.007535284722003995,77947
1.9783842822005475,0.022947267306629656,0.007577602278618246,77817
3.377019656223302,0.2969793021562552,0.007562009295740273,78423
