Ticker,CostMultiplier,Total Profit,Return %,Ann. Return %,Ann. Volatility %,Sharpe Ratio,Max Drawdown $,Max Drawdown %,Avg Drawdown $,CDD (α=0.05) $,DD Duration (bars),Recovery (bars),Return on Account,Total Trades,Win Rate %,Avg Winner $,Avg Loser $,Win/Loss Ratio,Profit Factor,Gross Profit $,Gross Loss $,Avg Trade PnL $,Avg Duration (bars)
TY,0.0,56195.46874999988,56.195468749999876,1.2854945384138172,4.897907389483519,0.26245791032593857,27903.125000000044,19.09720829784291,8241.962324784903,24230.267149973464,218865,108709.0,2.013948930451331,403,31.265508684863523,1195.2486359126976,-901.9051782490975,1.3252486677513913,0.602820693634207,150601.3281249999,249827.734375,-246.21937034739483,922.8734491315137
TY,0.5,51907.06249999988,51.90706249999988,1.2156821101927457,4.958324514501116,0.2451800213232034,29051.906250000044,20.189891100970776,8672.364168592449,25274.68830199909,261199,113019.0,1.7867007436043825,403,31.265508684863523,1185.9361359126976,-911.2176782490975,1.3014849955407701,0.5920112254084371,149427.9531249999,252407.296875,-255.53187034739486,922.8734491315137
TY,1.0,47618.65624999988,47.61865624999988,1.1439574268381325,5.021448809125195,0.2278142166378921,30234.593750000044,21.335608232993337,9130.600199361817,26358.598534031717,261355,113175.0,1.5749725841776794,403,31.265508684863523,1176.6236359126976,-920.5301782490975,1.2782021314615724,0.5814204641305348,148254.5781249999,254986.859375,-264.8443703473949,922.8734491315137
TY,2.0,39041.84374999988,39.041843749999884,0.9943364904375094,5.156738366293597,0.19282275341655314,32599.968750000044,23.73634609864727,10082.380154755432,28541.106815816653,266926,118746.0,1.1976037170280978,403,31.265508684863523,1157.9986359126976,-939.1551782490975,1.2330216163761119,0.5608690384959931,145907.8281249999,260145.984375,-283.4693703473949,922.8734491315137
BTC,0.0,515535.4999999999,515.5355,129.66559473005162,41.47037433051817,3.126704227374922,136433.75,22.63794593208886,27154.966008688494,118515.49628995433,39052,25755.0,3.778650810374998,1005,41.99004975124378,4450.385071090047,-2340.012006861063,1.9018642032781186,1.3766495605203533,1878062.4999999998,1364226.9999999998,511.2791044776119,32.99900497512438
BTC,0.5,502966.7499999999,502.9667499999999,128.55169780387223,42.106810224407745,3.052990647326584,137421.25,23.19851073060633,27712.539898845775,119414.11786529681,39052,25755.0,3.6600362025523703,1005,41.7910447761194,4459.065476190476,-2344.5034188034188,1.9019232134309627,1.3654833327196654,1872807.5,1371534.5,498.7791044776119,32.99900497512438
BTC,1.0,490397.9999999999,490.3979999999999,127.42318900095017,42.7681733625885,2.979392828416042,138408.75,23.77892665721469,28276.607703893973,120312.91302004059,39053,25756.0,3.543114145601343,1005,41.7910447761194,4446.565476190476,-2357.0034188034188,1.8865333162935616,1.3544341758005058,1867557.5,1378847.0,486.2791044776119,32.99900497512438
BTC,2.0,465260.49999999977,465.26049999999975,125.12187193718896,44.17191685193689,2.8326113253494114,140383.75,25.00368464103582,29438.13249143837,122111.38543252157,39053,25756.0,3.314204813591315,1005,41.39303482587064,4464.158653846152,-2365.8820033955853,1.8868898142168786,1.3326759978170144,1857089.9999999995,1393504.4999999998,461.2791044776119,32.99900497512438
