Market,RunType,StartTime,EndTime,Bars,Periods,L,S,GrossProfit,NetProfit,GrossMaxDD,NetMaxDD,GrossRoA,NetRoA,TotalCost,TurnoverContracts,TurnoverNotional,ClosedTrades,GrossStDev,NetStDev,TradeUnits,BarsBack,RoundTurnCost,CostNote
TY,reference_in_sample,03/10/1983 09:21,06/26/2013 14:00,2994565,1,11200,0.040000,94401.250000,91467.812500,18441.250000,18981.375000,5.119027,4.818819,2933.437500,315.000000,33929828.125000,157,25.454923,25.457388,157.500000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_out_of_sample,06/27/2013 07:21,04/10/2026 14:00,1307870,1,11200,0.040000,5730.625000,4408.250000,32222.500000,33191.000000,0.177845,0.132815,1322.375000,142.000000,17448196.250000,71,22.220366,22.226630,71.000000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
TY,reference_full,01/03/1983 08:01,04/10/2026 14:00,4319435,1,11200,0.040000,99772.500000,95516.687500,32222.500000,33191.000000,3.096361,2.877789,4255.812500,457.000000,51378024.375000,228,24.468565,24.472065,228.500000,17001,18.625000,"Official TF Data TY round-turn cost = $18.625 per contract."
