Period,Family,IS_start,IS_end,OOS_start,OOS_end,L,S,IS_Objective,IS_Profit,IS_MaxDD,OOS_Objective,OOS_Profit,OOS_MaxDD,OOS_Trades,RoundTurnCost
1,tf,2017-12-18 00:35:00,2023-08-22 09:00:00,2023-08-22 09:05:00,2023-12-28 19:00:00,552,0.01,28.135729,758743.25,26967.25,5.233635867162518,50312.25,9613.249999999985,107,25.0
2,tf,2018-04-27 14:20:00,2023-12-28 19:00:00,2023-12-28 19:05:00,2024-05-08 00:45:00,552,0.01,29.038445,783087.0,26967.25,1.2971906503585373,49475.49999999994,38140.50000000012,165,25.0
3,tf,2018-09-04 12:50:00,2024-05-08 00:45:00,2024-05-08 00:50:00,2024-09-12 06:30:00,276,0.01,28.61259,1079388.5,37724.25,3.542123487362572,123011.74999999977,34728.250000000146,190,25.0
4,tf,2019-01-14 07:05:00,2024-09-12 06:30:00,2024-09-12 06:35:00,2025-01-21 18:45:00,276,0.01,28.632389,1182861.25,41312.0,3.398076969226695,106199.24999999959,31252.75,202,25.0
5,tf,2019-05-22 21:50:00,2025-01-21 18:45:00,2025-01-21 18:50:00,2025-05-30 00:30:00,276,0.01,30.757219,1270642.25,41312.0,1.7689228288718206,80089.75000000029,45275.999999999854,201,25.0
6,tf,2019-09-29 20:20:00,2025-05-30 00:30:00,2025-05-30 00:35:00,2025-10-06 10:15:00,276,0.01,28.75688,1301996.5,45276.0,0.09150397500934981,12053.750000000378,131729.24999999983,134,25.0
7,tf,2020-02-06 18:35:00,2025-10-06 10:15:00,2025-10-06 10:20:00,2026-02-12 22:30:00,1104,0.01,14.173316,729575.0,51475.25,6.64053294922582,115254.75000000006,17356.249999999913,95,25.0
