Market,Trough q,Trough VR,Reference q,Reference VR,Showcase q,Showcase VR,Last q,Last VR,Recovery to Reference,Recovery to Showcase,Recovery to Last
TY,800,0.8883968040291907,1440,0.9112885362446712,1440,0.9112885362446712,4800,0.9490271922610982,0.022891732215480465,0.022891732215480465,0.06063038823190747
BTC,2474,0.816545809066032,1152,0.8350169414816094,3456,0.8407080385590829,5760,0.8885637386046773,0.018471132415577407,0.024162229493050913,0.07201792953864528
