Market,Walkforward NetProfit,Reference NetProfit,Walkforward NetMaxDD,Reference NetMaxDD,Walkforward NetRoA,Reference NetRoA
TY,47618.65625,32191.25,30234.59375,13650.4375,1.574973,2.358258
BTC,490398.0,421692.25,138408.75,99860.25,3.543114,4.222824
