Market,PythonPeriods,CppPeriods,PythonNetProfit,CppNetProfit,PythonNetMaxDD,CppNetMaxDD,PythonNetRoA,CppNetRoA,PythonTrades,CppTrades,PythonSharpe,CppSharpe,ProfitErrPct,MaxDDErrPct,RoAErrPct,TradesErrPct,SharpeErrPct,Within10Pct
TY,153,153,47618.65624999988,47618.65625,30234.593750000044,30234.59375,1.5749725841776794,1.574973,403,403,0.2278142166378921,0.2278131163221584,2.4447418510877197e-13,1.4439005215706117e-13,2.6401869782933e-05,0.0,0.000482990510580205,True
BTC,6,6,490397.9999999999,490398.0,138408.75,138408.75,3.543114145601343,3.543114,1005,1005,2.979392828416042,2.979547510248517,2.373894710560296e-14,0.0,4.10941739335398e-06,0.0,0.005191453801058289,True
