Market,RunType,StartTime,EndTime,Bars,Periods,L,S,GrossProfit,NetProfit,GrossMaxDD,NetMaxDD,GrossRoA,NetRoA,TotalCost,TurnoverContracts,TurnoverNotional,ClosedTrades,GrossStDev,NetStDev,TradeUnits,BarsBack,RoundTurnCost,CostNote
BTC,reference_in_sample,03/15/2018 23:15,10/12/2023 23:55,396339,1,552,0.010000,802798.750000,744673.750000,26242.250000,26967.250000,30.591841,27.614004,58125.000000,4650.000000,540934348.250000,2325,148.198399,148.244619,2325.000000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract; Bloomberg DES implies a 5-point minimum tick, or $25 per minimum fluctuation."
BTC,reference_out_of_sample,10/13/2023 00:00,04/10/2026 16:00,177097,1,552,0.010000,472435.000000,449022.500000,102373.500000,103823.500000,4.614817,4.324864,23412.500000,1873.000000,729276398.000000,936,349.321495,349.421902,936.500000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract; Bloomberg DES implies a 5-point minimum tick, or $25 per minimum fluctuation."
BTC,reference_full,12/18/2017 00:35,04/10/2026 16:00,590436,1,552,0.010000,1275233.750000,1193696.250000,102373.500000,103823.500000,12.456678,11.497361,81537.500000,6523.000000,1270210746.250000,3261,226.591192,226.657883,3261.500000,17001,25.000000,"Official TF Data BTC round-turn cost = $25.00 per contract; Bloomberg DES implies a 5-point minimum tick, or $25 per minimum fluctuation."
