ticker,q,time_scale,VR,Z2,p2,significant
BTC,1,5min,1.0,0.0,,False
BTC,2,10min,0.9774816887277741,-0.007053528395106993,0.9943721452608163,False
BTC,26,2.2hr,0.9192040528467214,-0.00561777423020121,0.9955176882521608,False
BTC,50,4.2hr,0.9247113706169457,-0.004040624905244435,0.9967760565448116,False
BTC,74,6.2hr,0.9282568079877536,-0.003299957305462721,0.997367019793399,False
BTC,98,8.2hr,0.9295689041906388,-0.0028953574402084247,0.9976898422281644,False
BTC,122,10.2hr,0.9305756451693298,-0.002609382343373307,0.9979180164776524,False
BTC,146,12.2hr,0.927258797061503,-0.002540100479658945,0.997973295223813,False
BTC,170,14.2hr,0.923387069945532,-0.0025144201722490395,0.9979937850791765,False
BTC,194,16.2hr,0.9191647138011385,-0.0025148096687482705,0.9979934743069159,False
BTC,218,18.2hr,0.9156379903669944,-0.002502461512144644,0.9980033266794224,False
BTC,242,20.2hr,0.9127219137864766,-0.0024790079410155434,0.9980220398636754,False
BTC,266,22.2hr,0.9084376401208509,-0.0024985010422770544,0.9980064866673044,False
BTC,288,1.0d,0.9014469085589278,-0.0025985375260401495,0.9979266693606312,False
BTC,290,1.0d,0.900681200910826,-0.0026108484381453683,0.9979168467072539,False
BTC,314,1.1d,0.8902161626442119,-0.0027871341881225502,0.9977761915415455,False
BTC,338,1.2d,0.8810739109141834,-0.002922485460210727,0.9976681972914181,False
BTC,362,1.3d,0.8724593856750125,-0.003040116153131894,0.9975743419948149,False
BTC,386,1.3d,0.864177643052659,-0.003146390123307183,0.997489548040501,False
BTC,410,1.4d,0.8574769271994682,-0.0032143588529332475,0.9974353171147932,False
BTC,434,1.5d,0.8532115262974319,-0.0032283462120002845,0.997424156874853,False
BTC,458,1.6d,0.8491677593881174,-0.0032397587921536783,0.9974150510009694,False
BTC,482,1.7d,0.8463756960382366,-0.003226936070474084,0.9974252819991447,False
BTC,506,1.8d,0.843674301140945,-0.0032149855480462165,0.997434817087022,False
BTC,530,1.8d,0.8417811199193219,-0.00318915933421525,0.9974554233186601,False
BTC,554,1.9d,0.8401446139395897,-0.003160907365993598,0.997477965014296,False
BTC,576,2.0d,0.8388117215069637,-0.00313389018434946,0.9974995214996347,False
BTC,578,2.0d,0.8386526340054663,-0.0031322660766907955,0.9975008173437006,False
BTC,602,2.1d,0.8366793431570324,-0.0031149833958640035,0.9975146068606289,False
BTC,626,2.2d,0.8340402519220442,-0.0031118188650990216,0.9975171317786309,False
BTC,650,2.3d,0.831730870617563,-0.003103677600593803,0.9975236275365167,False
BTC,674,2.3d,0.8302503241838938,-0.0030817014942600388,0.997541161848611,False
BTC,698,2.4d,0.8291816826373959,-0.0030539686590240153,0.9975632893455444,False
BTC,722,2.5d,0.8287138179181736,-0.003017384166875469,0.9975924794124944,False
