bin_centre,bin_mean,bin_se,bin_count
-3305.3362788872905,181.67709753955947,10.975158445387143,53527
-1216.144038594073,78.12943543129622,8.49875506219679,53687
-584.8743071864725,15.901737905119775,6.68522224869104,53225
-273.9856137869426,-8.647174867862725,5.263735937610607,53732
-99.69742913645352,-9.168659949147754,4.2827469941331415,53095
7.144983597853499,3.723761306103874,3.7087409035784256,52737
119.3728380903054,1.1153141821275967,4.523619100247957,54061
304.7286079182631,64.1578179164386,5.599429518445435,54810
639.3888223627587,20.439696141900235,7.215998959626016,53446
1353.1003098732674,20.435770879334978,8.614514966246972,53893
3313.6621805506365,-76.82358752586352,9.866154258409077,53647
