bin_centre,bin_mean,bin_se,bin_count
-0.8764120793112444,-0.017633768432037566,0.0018999557056180619,76660
-0.4430946506472145,-0.0027220330115139825,0.00175979673730591,69915
-0.28789775588523786,0.012266489210397255,0.0016455195839806072,73404
-0.18090655979951129,0.00472108258358325,0.001861549197246724,72024
-0.08819778604427911,0.005475940481190377,0.0015139040303059645,83335
0.005160292620722826,0.010546975491895882,0.001422776016017339,89399
0.09310143059704362,0.00742456427481699,0.0016504525853947433,78001
0.18125738592379206,0.006883081537252849,0.0015605286649452437,76370
0.2792677101766338,0.009873136226819564,0.0016618405678221217,68107
0.41709471072673604,0.0023612013555698616,0.0015749338372259857,82327
0.8019423649761959,-0.011351916919497775,0.0018572266325943122,83389
