Market,L,S,BarsBack,ISStart,ISEnd,OOSStart,OOSEnd,ISGrossProfit,ISNetProfit,ISGrossWorstDrawDown,ISNetWorstDrawDown,ISGrossStDev,ISNetStDev,ISTradeUnits,ISGrossObjective,ISNetObjective,OOSGrossProfit,OOSNetProfit,OOSGrossWorstDrawDown,OOSNetWorstDrawDown,OOSGrossStDev,OOSNetStDev,OOSTradeUnits,OOSGrossObjective,OOSNetObjective
TY,8000,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,75517.187500,71224.125000,20406.250000,20932.406250,25.128082,25.132821,230.500000,3.700689,3.402577,3020.937500,1009.437500,26087.812500,27768.718750,22.174506,22.180995,108.000000,0.115799,0.036352
TY,8000,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,85568.125000,81498.562500,20640.625000,21329.750000,25.854925,25.859147,218.500000,4.145617,3.820887,2315.000000,322.125000,26984.375000,28828.250000,22.350847,22.357435,107.000000,0.085790,0.011174
TY,9600,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,58263.281250,49267.406250,11475.937500,12276.812500,16.984386,16.989966,483.000000,5.076995,4.013045,21348.437500,18498.812500,14724.843750,16270.718750,16.144421,16.153127,153.000000,1.449824,1.136939
TY,9600,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,63372.265625,57402.953125,16649.531250,17469.031250,19.877938,19.880712,320.500000,3.806249,3.285984,9077.109375,6944.546875,18085.234375,18792.984375,18.993529,18.999199,114.500000,0.501907,0.369529
TY,9600,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,68132.812500,63504.500000,22262.812500,22989.187500,22.034619,22.037750,248.500000,3.060387,2.762364,7295.000000,5525.625000,26427.812500,27582.562500,20.695345,20.701118,95.000000,0.276035,0.200330
TY,9600,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,86237.968750,82615.406250,24238.750000,24872.000000,24.653678,24.657432,194.500000,3.557855,3.321623,7127.031250,5543.906250,30826.562500,31869.562500,22.126659,22.133158,85.000000,0.231198,0.173956
TY,9600,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,94691.875000,91274.187500,25585.625000,26274.750000,25.480251,25.483622,183.500000,3.700980,3.473837,7208.750000,5662.875000,31398.125000,32478.375000,22.363628,22.369963,83.000000,0.229592,0.174358
TY,11200,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,45077.656250,36491.531250,13024.062500,13545.562500,16.453096,16.458693,461.000000,3.461106,2.693984,23533.281250,20963.031250,16422.968750,17633.593750,15.437086,15.445465,138.000000,1.432949,1.188812
TY,11200,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,50012.421875,44341.109375,17490.625000,17807.250000,19.300393,19.302869,304.500000,2.859384,2.490059,17147.578125,15294.390625,17644.765625,18371.140625,18.397709,18.402170,99.500000,0.971822,0.832523
TY,11200,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,60512.812500,56219.750000,18379.375000,18994.000000,21.572910,21.575652,230.500000,3.292430,2.959869,14605.625000,13097.000000,26824.375000,27886.000000,20.216393,20.221458,81.000000,0.544491,0.469662
TY,11200,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,82381.875000,79169.062500,18600.312500,19103.187500,24.421368,24.424617,172.500000,4.429059,4.144285,10580.781250,9258.406250,31610.000000,32541.250000,21.842796,21.848433,71.000000,0.334729,0.284513
TY,11200,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,94401.250000,91467.812500,18441.250000,18981.375000,25.454923,25.457388,157.500000,5.119027,4.818819,5730.625000,4408.250000,32222.500000,33191.000000,22.220366,22.226630,71.000000,0.177845,0.132815
TY,16000,0.010000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,30771.406250,23451.781250,13658.750000,14198.875000,15.197272,15.202500,393.000000,2.252871,1.651665,31072.187500,29023.437500,17111.250000,18191.500000,14.134257,14.140987,110.000000,1.815892,1.595439
TY,16000,0.015000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,36803.671875,32007.734375,17216.484375,17495.859375,18.060617,18.063726,257.500000,2.137700,1.829446,17030.781250,15494.218750,23676.875000,24347.375000,17.028234,17.031613,82.500000,0.719300,0.636381
TY,16000,0.020000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,42293.125000,38726.437500,20293.437500,21019.812500,20.304258,20.307801,191.500000,2.084079,1.842378,9171.250000,7904.750000,35963.125000,37229.625000,18.975464,18.978881,68.000000,0.255018,0.212324
TY,16000,0.030000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,71729.843750,69317.906250,17803.437500,18008.312500,23.786455,23.791453,129.500000,4.028988,3.849217,11865.156250,10840.781250,40018.281250,40726.031250,21.290657,21.294303,55.000000,0.296493,0.266188
TY,16000,0.040000,17001,01/03/1983,06/26/2013,06/27/2013,04/10/2026,64893.125000,62723.312500,19315.000000,19575.750000,25.354143,25.358823,116.500000,3.359727,3.204133,7552.500000,6565.375000,40171.875000,40861.000000,21.934023,21.937841,53.000000,0.188005,0.160676
