Segment,start_idx,end_exclusive,Profit,WorstDrawDown,StDev,TradeUnits,Objective
in_sample,17000,3011565,91467.8125,18981.375,25.4573880661796,157.5,4.818819105570592
out_of_sample,3011565,4319435,4408.25,33191.0,22.22662973312986,71.0,0.1328146184206562
