Market,RunType,L,S,Start,End,Periods,Bars,NetProfit,NetMaxDD,NetRoA,TotalCost,TurnoverContracts,ClosedTrades,WinRate,AvgWinner,AvgLoser,ProfitFactor,AvgDurationBars,NetAnnReturn,NetAnnVol,NetAnnSharpe,GrossAnnReturn,GrossAnnVol,GrossAnnSharpe
TY,walkforward_oos,1440,0.01,06/29/1987 12:40,03/18/2026 11:15,153,771120,47618.65625,30234.59375,1.574973,8576.8125,921.0,403,0.31265508684863524,1176.6236359126983,-920.5301782490975,0.5814204641305352,922.8734491315137,0.010233974353232034,0.050214418961710944,0.22781311632215842,0.011720546355935557,0.04897903987772455,0.26233283644581856
TY,full_sample,1440,0.01,01/03/1983 08:05,04/10/2026 13:55,1,853091,85134.71875,15273.125,5.574152,13391.375,1438.0,719,0.41307371349095967,1168.2068602693603,-620.4329828199052,1.32516169397542,634.5299026425591,0.014658410916977616,0.038650454881480986,0.39566172324578097,0.01634124370671164,0.037058865494288815,0.4557667396755983
BTC,walkforward_oos,288,0.01,11/19/2023 21:05,02/08/2026 23:15,6,157680,490398.0,138408.75,3.543114,25137.5,2011.0,1005,0.417910447761194,4446.565476190476,-2357.0034188034188,1.3544341758005058,32.99900497512438,2.266837753851289,0.42768082366541876,2.979547510248517,2.358755689558871,0.4147024018443809,3.1267482277244727
BTC,full_sample,288,0.01,12/18/2017 00:35,04/10/2026 16:00,1,590436,1727344.5,138408.75,12.480024,122037.5,9763.0,4881,0.4427371440278631,2161.7761453031003,-1082.9776572269216,1.5864879676596229,24.03954107764802,0.677473643043556,0.11175493543002442,4.68440982867936,0.6968583123285683,0.10424354799560845,5.124443306961456
