Market,RunKind,StartTime,EndTime,Bars,GrossProfit,NetProfit,TotalCost,TurnoverContracts,TurnoverNotional,GrossMaxDD,NetMaxDD,TradeUnits,GrossAnnVol,NetAnnVol,GrossSharpe,NetSharpe,GrossCAGR,NetCAGR,RoundTurnCost,CostNote,GrossRoA,NetRoA,GrossStDevCpp,NetStDevCpp
TY,reference,1983-01-03 08:05:00,2026-04-10 13:55:00,853091,106632.1875,92700.6875,13931.5,1496.0,165355385.0,12179.0625,13650.4375,748.0,0.03747189512049788,0.039118704069283854,0.4762201673410212,0.41558211743950935,0.0172963019740926,0.015619033255987791,18.625,Default TY round-turn cost = $18.625 = one CME/CBOT 10Y tick ($15.625) plus a small fee cushion.,5.944995,4.906241,39.395439,39.42239
BTC,reference,2017-12-18 00:35:00,2026-04-10 16:00:00,590436,1218997.75,1059622.75,159375.0,6375.0,1241759634.75,98485.25,101235.25,3187.5,0.10557135387777117,0.12073099375490533,4.402569963892855,3.6737446549789317,0.5828857353749441,0.5469782169476518,50.0,"Default BTC round-turn cost = $50.00 = two CME BTC ticks ($25 each), a conservative liquid-hours baseline.",32.724576,26.360864,146.760472,146.866118
